translation_x,translation_y,translation_z,frame_numbers
-2.615083,-60.748694,-9.333336,frame_000664
-2.634253,-61.172719,-9.342542,frame_000668
-2.645167,-61.602341,-9.352165,frame_000672
-2.65563,-62.03156,-9.36201,frame_000676
-2.672778,-62.44338,-9.372029,frame_000680
-2.693836,-62.853805,-9.381621,frame_000684
-2.709831,-63.264778,-9.391164,frame_000688
-2.725191,-63.671158,-9.399962,frame_000692
-2.740856,-64.078414,-9.40835,frame_000696
-2.759296,-64.492409,-9.416219,frame_000700
-2.777185,-64.886071,-9.423514,frame_000704
-2.799346,-65.276973,-9.430505,frame_000708
-2.819032,-65.684973,-9.437478,frame_000712
-2.839453,-66.0728,-9.444283,frame_000716
-2.863222,-66.454838,-9.451577,frame_000720
-2.895277,-66.833927,-9.459006,frame_000724
-2.922877,-67.216119,-9.466493,frame_000728
-2.951354,-67.60158,-9.473844,frame_000732
-2.974013,-67.982593,-9.480918,frame_000736
-3.003402,-68.355658,-9.48705,frame_000740
-3.033538,-68.738714,-9.49267,frame_000744
-3.062876,-69.119057,-9.497808,frame_000748
-3.090732,-69.500367,-9.502517,frame_000752
-3.123014,-69.890219,-9.506962,frame_000756
-3.157667,-70.290092,-9.511074,frame_000760
-3.194826,-70.680553,-9.515292,frame_000764
-3.238272,-71.080714,-9.520529,frame_000768
-3.280516,-71.475572,-9.526095,frame_000772
-3.313779,-71.880038,-9.531849,frame_000776
-3.352416,-72.274099,-9.537542,frame_000780
-3.38735,-72.659337,-9.542945,frame_000784
-3.423779,-73.046188,-9.547669,frame_000788
-3.453715,-73.431316,-9.551805,frame_000792
-3.481049,-73.809757,-9.55563,frame_000796
-3.501789,-74.193817,-9.558994,frame_000800
-3.516322,-74.56797,-9.561764,frame_000804
-3.527103,-74.943359,-9.564096,frame_000808
-3.530728,-75.308371,-9.566363,frame_000812
-3.535129,-75.674619,-9.569028,frame_000816
-3.533898,-76.036836,-9.57119,frame_000820
-3.528706,-76.393355,-9.5726,frame_000824
-3.528707,-76.748297,-9.573609,frame_000828
-3.53316,-77.103808,-9.574296,frame_000832
-3.535204,-77.441483,-9.574478,frame_000836
-3.531463,-77.777795,-9.574288,frame_000840
-3.5239,-78.114373,-9.573867,frame_000844
-3.51759,-78.453211,-9.573016,frame_000848
-3.507371,-78.782772,-9.571974,frame_000852
-3.48988,-79.10183,-9.571083,frame_000856
-3.464728,-79.421024,-9.57003,frame_000860
-3.435909,-79.748691,-9.568956,frame_000864
-3.403603,-80.073139,-9.567603,frame_000868
-3.365614,-80.393358,-9.566221,frame_000872
-3.325481,-80.718226,-9.56477,frame_000876
-3.285138,-81.03706,-9.56335,frame_000880
-3.234745,-81.340757,-9.561834,frame_000884
-3.180644,-81.653602,-9.56006,frame_000888
-3.128979,-81.962624,-9.557972,frame_000892
-3.082173,-82.266212,-9.555354,frame_000896
-3.030667,-82.562756,-9.552511,frame_000900
-2.965797,-82.851847,-9.549374,frame_000904
-2.898678,-83.147021,-9.546095,frame_000908
-2.83019,-83.443181,-9.54278,frame_000912
-2.751777,-83.739341,-9.539443,frame_000916
-2.669052,-84.035502,-9.536474,frame_000920
-2.585886,-84.331662,-9.533531,frame_000924
-2.500879,-84.627822,-9.530868,frame_000928
-2.413795,-84.923983,-9.528593,frame_000932
-2.328387,-85.220143,-9.52708,frame_000936
-2.237028,-85.516304,-9.52611,frame_000940
-2.138161,-85.815217,-9.525836,frame_000944
-2.028484,-86.117332,-9.526154,frame_000948
-1.91288,-86.411197,-9.526902,frame_000952
-1.792437,-86.701173,-9.52809,frame_000956
-1.665487,-86.989321,-9.529525,frame_000960
-1.528519,-87.266782,-9.53109,frame_000964
-1.391384,-87.541874,-9.532847,frame_000968
-1.254222,-87.809384,-9.534145,frame_000972
-1.11202,-88.067462,-9.535133,frame_000976
-0.975589,-88.319549,-9.535945,frame_000980
-0.833775,-88.56365,-9.536309,frame_000984
-0.682178,-88.801137,-9.536112,frame_000988
-0.52368,-89.03867,-9.535273,frame_000992
-0.366898,-89.269379,-9.5337,frame_000996
-0.210614,-89.495655,-9.531687,frame_001000
-0.043775,-89.716431,-9.529392,frame_001004
0.132811,-89.93822,-9.526419,frame_001008
0.320954,-90.154773,-9.52304,frame_001012
0.512565,-90.364418,-9.519225,frame_001016
0.708439,-90.571281,-9.513878,frame_001020
0.909813,-90.773579,-9.506555,frame_001024
1.11044,-90.971697,-9.497091,frame_001028
1.316051,-91.160585,-9.485158,frame_001032
1.526055,-91.340481,-9.470864,frame_001036
1.745244,-91.514989,-9.454434,frame_001040
1.962688,-91.68228,-9.436702,frame_001044
2.188471,-91.851474,-9.418295,frame_001048
2.425415,-92.005973,-9.400232,frame_001052
2.671965,-92.159156,-9.382947,frame_001056
2.920491,-92.297695,-9.3674,frame_001060
3.17475,-92.418926,-9.353376,frame_001064
3.434502,-92.543267,-9.340112,frame_001068
3.697604,-92.661598,-9.328085,frame_001072
3.963261,-92.778501,-9.317887,frame_001076
4.237296,-92.88572,-9.309825,frame_001080
4.516784,-92.983902,-9.306654,frame_001084
4.801145,-93.071755,-9.31098,frame_001088
5.078461,-93.155566,-9.3253,frame_001092
5.3629,-93.239203,-9.352403,frame_001096
5.644562,-93.309446,-9.396075,frame_001100
5.92379,-93.384392,-9.458092,frame_001104
6.210353,-93.446302,-9.538781,frame_001108
6.50194,-93.508259,-9.637801,frame_001112
6.796239,-93.57791,-9.75383,frame_001116
7.087949,-93.645412,-9.884838,frame_001120
7.388572,-93.711149,-10.02741,frame_001124
7.694993,-93.761974,-10.181049,frame_001128
7.999141,-93.801914,-10.345116,frame_001132
8.294355,-93.825149,-10.518203,frame_001136
8.581844,-93.835744,-10.69856,frame_001140
8.868308,-93.853385,-10.88703,frame_001144
9.146773,-93.864518,-11.083686,frame_001148
9.42874,-93.873055,-11.290208,frame_001152
9.717885,-93.871724,-11.50707,frame_001156
10.002121,-93.874061,-11.734053,frame_001160
10.288675,-93.87497,-11.969232,frame_001164
10.575819,-93.873464,-12.209484,frame_001168
10.869005,-93.872296,-12.452042,frame_001172
11.16673,-93.871915,-12.694496,frame_001176
11.46723,-93.86773,-12.932887,frame_001180
11.759625,-93.849255,-13.164619,frame_001184
12.054609,-93.829088,-13.389413,frame_001188
12.341691,-93.817721,-13.606858,frame_001192
12.630599,-93.783904,-13.816553,frame_001196
12.924939,-93.7358,-14.021744,frame_001200
13.217084,-93.676245,-14.226192,frame_001204
13.510599,-93.603946,-14.428331,frame_001208
13.805189,-93.530292,-14.628124,frame_001212
14.098117,-93.454874,-14.82616,frame_001216
14.395815,-93.378229,-15.024716,frame_001220
14.704188,-93.294942,-15.223216,frame_001224
15.017419,-93.200569,-15.4211,frame_001228
15.327876,-93.08768,-15.620429,frame_001232
15.638159,-92.971928,-15.824448,frame_001236
15.952971,-92.8472,-16.031292,frame_001240
16.270674,-92.71648,-16.23926,frame_001244
16.587124,-92.577321,-16.449653,frame_001248
16.901829,-92.432489,-16.660207,frame_001252
17.223269,-92.288844,-16.866845,frame_001256
17.534488,-92.142193,-17.068631,frame_001260
17.843423,-91.992946,-17.268237,frame_001264
18.153728,-91.833369,-17.465294,frame_001268
18.469057,-91.66331,-17.660146,frame_001272
18.783182,-91.482383,-17.851261,frame_001276
19.098878,-91.288419,-18.040825,frame_001280
19.420663,-91.0837,-18.228057,frame_001284
19.750066,-90.864821,-18.409039,frame_001288
20.078065,-90.64277,-18.579825,frame_001292
20.409732,-90.418318,-18.737151,frame_001296
20.747032,-90.190069,-18.875771,frame_001300
21.086209,-89.966834,-18.993204,frame_001304
21.417772,-89.739801,-19.08785,frame_001308
21.750385,-89.516245,-19.160619,frame_001312
22.089899,-89.284772,-19.211786,frame_001316
22.43643,-89.046679,-19.245382,frame_001320
22.790268,-88.800115,-19.263206,frame_001324
23.150973,-88.538192,-19.270414,frame_001328
23.526463,-88.259814,-19.270118,frame_001332
23.914286,-87.974677,-19.265293,frame_001336
24.310344,-87.679723,-19.258587,frame_001340
24.715045,-87.378127,-19.251852,frame_001344
25.12717,-87.063241,-19.245959,frame_001348
25.543878,-86.752965,-19.241162,frame_001352
25.966827,-86.444262,-19.237726,frame_001356
26.396945,-86.126301,-19.235485,frame_001360
26.835335,-85.802303,-19.234259,frame_001364
27.277363,-85.480591,-19.233817,frame_001368
27.720028,-85.157919,-19.233894,frame_001372
28.161033,-84.833774,-19.234775,frame_001376
28.613918,-84.513436,-19.23617,frame_001380
29.064518,-84.189079,-19.238019,frame_001384
29.521105,-83.854751,-19.240508,frame_001388
29.986218,-83.520828,-19.243819,frame_001392
30.456674,-83.182658,-19.248022,frame_001396
30.926182,-82.85178,-19.253037,frame_001400
31.402547,-82.518102,-19.258932,frame_001404
31.883022,-82.173933,-19.265339,frame_001408
32.361871,-81.824331,-19.272057,frame_001412
32.835101,-81.482448,-19.279066,frame_001416
33.306975,-81.136807,-19.286617,frame_001420
33.771658,-80.787808,-19.294789,frame_001424
34.244888,-80.443262,-19.303249,frame_001428
34.713224,-80.096679,-19.311999,frame_001432
35.192406,-79.755867,-19.320954,frame_001436
35.672737,-79.421229,-19.330081,frame_001440
36.153488,-79.082273,-19.33927,frame_001444
36.637587,-78.753426,-19.348223,frame_001448
37.129314,-78.415496,-19.35682,frame_001452
37.613413,-78.070117,-19.365256,frame_001456
38.094164,-77.729277,-19.373537,frame_001460
38.574494,-77.38863,-19.381796,frame_001464
39.054422,-77.048825,-19.390013,frame_001468
39.528106,-76.704656,-19.398386,frame_001472
39.997184,-76.363104,-19.406827,frame_001476
40.458608,-76.026016,-19.415544,frame_001480
40.925092,-75.688186,-19.424604,frame_001484
41.389124,-75.348499,-19.433769,frame_001488
41.855441,-75.006927,-19.443254,frame_001492
42.317412,-74.671194,-19.453078,frame_001496
42.780759,-74.334032,-19.463248,frame_001500
43.243644,-74.013995,-19.473468,frame_001504
43.713871,-73.699997,-19.483359,frame_001508
44.185148,-73.380946,-19.493219,frame_001512
44.654294,-73.0742,-19.502814,frame_001516
45.118873,-72.760096,-19.512051,frame_001520
45.576449,-72.44519,-19.520644,frame_001524
46.034467,-72.122643,-19.528839,frame_001528
46.491372,-71.786503,-19.536328,frame_001532
46.943861,-71.447145,-19.542575,frame_001536
47.395908,-71.105795,-19.548154,frame_001540
47.840036,-70.759549,-19.552761,frame_001544
48.283723,-70.413084,-19.555777,frame_001548
48.722995,-70.061796,-19.557282,frame_001552
49.159069,-69.702952,-19.557957,frame_001556
49.593164,-69.350147,-19.55789,frame_001560
50.026498,-69.000751,-19.556857,frame_001564
50.460289,-68.654374,-19.554822,frame_001568
50.895754,-68.302528,-19.551765,frame_001572
51.334112,-67.947572,-19.54804,frame_001576
51.776581,-67.607755,-19.543477,frame_001580
52.224377,-67.269494,-19.538907,frame_001584
52.677813,-66.932959,-19.534318,frame_001588
53.126646,-66.601254,-19.529477,frame_001592
53.574734,-66.264282,-19.524402,frame_001596
54.022821,-65.921804,-19.519634,frame_001600
54.470908,-65.588117,-19.515308,frame_001604
54.918995,-65.262012,-19.510929,frame_001608
55.367082,-64.930402,-19.506988,frame_001612
55.81517,-64.601007,-19.503272,frame_001616
56.263257,-64.271664,-19.500202,frame_001620
56.711344,-63.9476,-19.497605,frame_001624
57.159431,-63.623337,-19.495387,frame_001628
57.611379,-63.291607,-19.49441,frame_001632
58.062296,-62.964104,-19.493633,frame_001636
58.507276,-62.644587,-19.493203,frame_001640
58.947536,-62.32463,-19.493104,frame_001644
59.384295,-62.002862,-19.493356,frame_001648
59.81877,-61.686866,-19.493832,frame_001652
60.25218,-61.373824,-19.494547,frame_001656
60.685742,-61.049037,-19.495466,frame_001660
61.122756,-60.725192,-19.496327,frame_001664
61.564781,-60.407568,-19.49708,frame_001668
62.00437,-60.076478,-19.497313,frame_001672
62.443959,-59.737202,-19.497344,frame_001676
62.889844,-59.397321,-19.497278,frame_001680
63.329688,-59.06853,-19.4966,frame_001684
63.762225,-58.74356,-19.495646,frame_001688
64.192313,-58.416933,-19.494959,frame_001692
64.618914,-58.087015,-19.494991,frame_001696
65.036532,-57.763737,-19.495389,frame_001700
65.442223,-57.448198,-19.495861,frame_001704
65.85973,-57.132401,-19.496843,frame_001708
66.279203,-56.817961,-19.498805,frame_001712
66.695887,-56.500657,-19.502132,frame_001716
67.100725,-56.185093,-19.507396,frame_001720
67.506489,-55.867689,-19.515158,frame_001724
67.919187,-55.551746,-19.525765,frame_001728
68.33272,-55.230892,-19.538849,frame_001732
68.748295,-54.900171,-19.55416,frame_001736
69.164905,-54.554964,-19.571663,frame_001740
69.571586,-54.203365,-19.590139,frame_001744
69.962196,-53.848079,-19.608568,frame_001748
70.350427,-53.502708,-19.626153,frame_001752
70.742887,-53.153836,-19.642695,frame_001756
71.128879,-52.79374,-19.658405,frame_001760
71.505822,-52.426636,-19.67333,frame_001764
71.874589,-52.0586,-19.687742,frame_001768
72.235563,-51.688804,-19.701924,frame_001772
72.594953,-51.304965,-19.716377,frame_001776
72.954315,-50.906778,-19.731087,frame_001780
73.314112,-50.500673,-19.746541,frame_001784
73.663998,-50.088834,-19.76215,frame_001788
74.007738,-49.675684,-19.777402,frame_001792
74.348232,-49.256538,-19.792744,frame_001796
